id,part_number,serial_number,description,notes,condition,price,shipping,date_added,date_sold,status,commission_percentage,fixed_fee,invoice_number,user_id
5260,805-10890-001,82322,Goodrich NY 164 Antenna,Unit Only,AR,778.21,0,2025-07-29,2025-08-13,Sold,0,311.28,MIL13,39
5261,013-00235-00,10945,Garmin GA 35 Antenna,Unit Only,AR,0,0,2025-07-29,2025-07-29,Sold,0,0,MIL01,39
5262,011-03257-40,3RE009326,Garmin Flight Stream 210,Includes Connector,AR,0,0,2025-07-29,2025-07-29,Sold,0,0,MIL02,39
5263,1394T100-7Z,9810-319,Mid Continent Turn Coordinator,Includes Connector,AR,0,0,2025-07-29,2025-07-29,Sold,0,0,MIL08,39
5264,050-890-0202,T03580,PS Engineering PMA8000B Audio Panel,Includes Tray & Connectors,AR,0,0,2025-07-29,2025-07-29,Sold,0,0,MIL03,39
5265,760000-4C-O-T,5239,JPI Instruments EDM 760,Includes Connector & Probes,AR,0,0,2025-07-29,2025-07-29,Sold,0,0,MIL05,39
5266,805-10800-001,82157,L-3 Skywatch System,Includes Connector,AR,0,0,2025-07-29,,Unsold,0,0,,39
5267,5934PAD-3,402923,UI Altimeter,Unit Only,AR,0,0,2025-07-29,2025-07-29,Sold,0,0,MIL07,39
5268,7000,281101,UI VSI,Unit Only,AR,0,0,2025-07-29,,Unsold,0,0,,39
5269,013-00235-00,10919,Garmin GA 35 Antenna,Unit Only,AR,0,0,2025-07-29,2025-07-29,Sold,0,0,MIL06,39
5270,1394T100-7Z,D08-10526,MId -Continent Turn Coordinator,Includes Connector,AR,0,0,2025-07-29,2025-07-29,Sold,0,0,MIL04,39
5271,065-0042-15,1865,Bendix King Auto Pilot Computer,Includes Tray & Connectors,AR,0,0,2025-07-29,2025-07-29,Sold,0,0,MIL09,39
5272,060-0017-00,22465,Bendix King KI 256,Includes Connector - Parts Loose Inside Unit,INOP,0,0,2025-07-29,,Unsold,0,0,,39
5273,066-3046-07,87597,Bendix King KI 525A,Includes Connector,AR,0,0,2025-07-29,,Unsold,0,0,,39
5274,1U262-010-41,T68272N,Sigma Tek Directional Gyro,Unit Only,AR,0,0,2025-07-29,,Unsold,0,0,,39
5275,78-8060-5900-8,JSD12804514,Stormscope WX-1000 Display,Includes Connector. Shipping $13.28,AR,0,0,2025-07-29,2025-08-18,Sold,0,0,,39
5276,066-03064-0005,33987,Bendix King KEA 130A Encoding Altimeter,Includes Connector,AR,0,0,2025-07-29,,Unsold,0,0,,39
5277,DVR 300i-XT,98071,Flight COM Voice Recorder,Unit Only,AR,0,0,2025-07-29,,Unsold,0,0,,39
5278,8125,169369,UI Airspeed Indicator,Unit Only,AR,0,0,2025-07-29,,Unsold,0,0,,39
5279,AR-850,15291,Narco AR-850 Altitude Reporter,Includes Connector. Shipping $7.11,AR,0,0,2025-07-29,2025-08-18,Sold,0,0,,39
5280,8125,169371,Includes Connector,Unit Only,AR,0,0,2025-07-29,,Unsold,0,0,,39
5281,102-0074-03,98M1231G,RCA Horizon Indicator,Unit Only,AR,0,0,2025-07-29,2025-07-29,Sold,0,0,MIL11,39
5282,060-0015-00,42949,Bendix King KG 102A,Includes Connector,AR,0,0,2025-07-29,,Unsold,0,0,,39
5283,065-0059-03,29391,Bendix King KS 270A Pitch Servo,Unit Only - Cracked Outer Case,AR,0,0,2025-07-29,,Unsold,0,0,,39
5284,065-0061-06,48410,Bendix King KS 272A Trim Servo,Includes Connector - Cracked Outer Case,AR,0,0,2025-07-29,,Unsold,0,0,,39
5285,MP-20,11254,Narco MP-20 Converter,Unit Only,AR,0,0,2025-07-29,,Unsold,0,0,,39
5286,7000,281115,UI VSI,Unit Only,AR,0,0,2025-07-29,,Unsold,0,0,,39
5287,011-00134-00,59412443,Garmin GA 56 Antenna,Unit Only,AR,0,0,2025-07-29,,Unsold,0,0,,39
5288,071-1052-00,55802,Bendix King KMT 112 Azimuth,Unit Only,AR,0,6.02,2025-07-29,2025-08-13,Sold,0,0,,39
5289,071-1466-00,2162,Bendix King KAA 15 Aural Alerter,Includes Connector,AR,0,0,2025-07-29,,Unsold,0,0,,39
